job_title,job_url,salary,company_name,company_sector,company_logo_url,location,contract_type,remote,publication_date
Senior Data Engineer,https://www.welcometothejungle.com/fr/companies/pharow/jobs/senior-data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=8f3d9840-6f02-48dd-a16a-cdcb987e9620,Salaire : 55K à 75K €,Pharow,SaaS / Cloud Services,https://cdn-images.welcometothejungle.com/gsbpBqe_I3fkG33v2x6VIuXLepzteAAMuJ3FEaGf1iw/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby82ODA1LzE2NzExOS9mNTkyOGJmZC02OTBjLTRlMTktOWNhNS00OTdmZDBkM2UzZmIucG5n,Paris,CDI,Télétravail fréquent,2024-06-27T14:57:13Z
Data Engineer GCP Senior (F/H),https://www.welcometothejungle.com/fr/companies/apside/jobs/data-engineer-gcp-senior-f-h_la-defense?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=a803a30f-8d0f-42a4-aab8-ff2d0c62d5ce,Salaire : Non spécifié,Apside,"SaaS / Cloud Services, Big Data, Cybersécurité",https://cdn-images.welcometothejungle.com/Jy3Gp5bvYbO-cMRkKUKnhOqZnFdpTRwunUtDJvl1rUs/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84OTIzLzE2OTEwNC9iOTQxZThiMy04MmM2LTRhZDMtYTA3YS05NDdjYjM3OTlhZDAucG5n,La Défense,CDI,Télétravail non autorisé,2024-06-07T22:37:33Z
Senior Data Engineer (H/F),https://www.welcometothejungle.com/fr/companies/publicis-sapient/jobs/senior-data-engineer-h-f_paris_PS_1MGPbrM?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=d251b0be-1ab5-49d9-9c54-67b297b16d40,Salaire : Non spécifié,Publicis Sapient,IT / Digital,https://cdn-images.welcometothejungle.com/X_SyrijRN_jWal88xuLoC5E1k79g27-SJYFvGKGS7DQ/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby83ODA2LzE2MzExMC81OGJkM2MxMC03MTljLTQ1NGQtOTFhZS0xN2VhODg1OTRjYTIucG5n,Paris,CDI,Télétravail non autorisé,2024-06-21T23:24:14Z
Data Engineer Sénior,https://www.welcometothejungle.com/fr/companies/skello/jobs/data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=71b8e027-75e2-4243-b15c-09dafe1aa883,Salaire : Non spécifié,Skello,"Application mobile, SaaS / Cloud Services, Ressources humaines",https://cdn-images.welcometothejungle.com/D41GJLy1VEp7d67LiJrpR1MvVk5U5CgUur9TVo0LJYc/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby82Mjg0LzE0ODgzOC8xZGIzYjA1My0xNjBjLTRhMTEtOTYyYS01MDEzMjg4NmVhODIuanBn,Paris,CDI,Télétravail fréquent,2024-07-05T09:39:55Z
Data Engineer Senior H/F,https://www.welcometothejungle.com/fr/companies/innovela/jobs/data-engineer-senior-h-f_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=36ad7506-380a-4236-8336-4264dbd35021,Salaire : 55K à 80K €,Innovela,"IT / Digital, SaaS / Cloud Services, Big Data",https://cdn-images.welcometothejungle.com/EuSY6yqSKC6fXAkQqQ6pAZKzwuxOqHYKsQ0UZQLMy2Q/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8zMTIwLzE1Njk4Ni8wMjBmZmU3OS1mZmUwLTQ5NzctYjEzMS1lMDM5MmQyNjk4M2QucG5n,Paris,CDI,Télétravail fréquent,2024-07-02T16:02:34Z
Data Engineer / Kafka Senior,https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-engineer-kafka-senior_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=7bfdca9f-3318-4118-9d16-6e01f80bc374,Salaire : Non spécifié,JAKALA,"Digital Marketing / Data Marketing, Big Data, E-commerce",https://cdn-images.welcometothejungle.com/2EJHmfeb6ja3Ueb4Fi2_LJiw_wHHFjZxhI2QU_afvZE/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby81NzgzLzE0NjM1Ni8yNTlkMTNhNS01YzU0LTRmM2UtYmU5Mi1hM2IxYmE0NDI5MmQucG5n,Paris,CDI,Télétravail fréquent,2024-05-17T08:02:32Z
Senior Data Engineer (f/m/d) ,https://www.welcometothejungle.com/fr/companies/decathlon-digital/jobs/senior-data-engineer-f-m-d_croix?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=ed464100-4056-49e4-94ad-81326a767a31,Salaire : Non spécifié,Decathlon Digital,"Application mobile, Logiciels, Cybersécurité, Sport, E-commerce, Grande distribution",https://cdn-images.welcometothejungle.com/c6x3vd7MdE-ZqfTX4zodKASEZy0OuIs9BGVEejCFpwI/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85MzQ4LzE2MzQ2NS80NWIzYjE3OC03ZjAxLTRlMmEtOTRiYi1kMjM4NjQxYmQxZmIucG5n,Croix,CDI,Télétravail fréquent,2024-07-05T12:38:32Z
Senior Data Engineer (f/m/d) ,https://www.welcometothejungle.com/fr/companies/decathlon-digital/jobs/senior-data-engineer-f-m-d_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=8aadf468-9103-414c-a1ba-42d0eb21b717,Salaire : Non spécifié,Decathlon Digital,"Application mobile, Logiciels, Cybersécurité, Sport, E-commerce, Grande distribution",https://cdn-images.welcometothejungle.com/c6x3vd7MdE-ZqfTX4zodKASEZy0OuIs9BGVEejCFpwI/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85MzQ4LzE2MzQ2NS80NWIzYjE3OC03ZjAxLTRlMmEtOTRiYi1kMjM4NjQxYmQxZmIucG5n,Paris,CDI,Télétravail fréquent,2024-07-05T12:38:14Z
Senior Data Engineer (H/F),https://www.welcometothejungle.com/fr/companies/publicis-france-1/jobs/senior-data-engineer-h-f_paris_PF_MRrK0GJ?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=558f9468-37cc-4160-be01-78db785b7dfd,Salaire : Non spécifié,Publicis France,"Marketing / Communication, Publicité, Digital, Relations publiques, AdTech  / MarTech, Evénementiel, Design",https://cdn-images.welcometothejungle.com/vRb_AI9u06mkYOo3Psj6JDFip0cRymrFdVcCcU0o0U4/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85MDgwLzE2NzAyNC82YjBkZDYzYy04MGNkLTQ4MTQtODdmNC05NTM1NjY0OTU4NTAucG5n,Paris,CDI,Télétravail non autorisé,2024-06-21T23:48:39Z
Senior Data Engineer / Azure (H/F),https://www.welcometothejungle.com/fr/companies/groupe-micropole/jobs/senior-data-engineer-azure-h-f_villeurbanne?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=69a0033e-ae60-40d9-a751-d691b061e8e3,Salaire : Non spécifié,Micropole,IT / Digital,https://cdn-images.welcometothejungle.com/LtevcJNGVjbkbivvZBwg8v1QUtJz-TW4dsGWX0voK4E/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yNzkxLzE1NTgwMi85ZTQ0NTgzMy0wMGE3LTQ2YjctOGM5Zi1mMmY0MGU3MzI0MjAucG5n,Villeurbanne,CDI,Télétravail non autorisé,2024-06-19T00:32:51Z
